filename,dut,dut_version,os_version,config,test_case_id,suite,run_date,execution_duration,failure_freq_suite,failure_freq_dut,recent_failure_flag,error_msg,cluster,root_cause_label,keywords,label
tc_conf_ptp-oc_mtg_005_20241101-173355.log,hirchmann_udp_def_mul_untag,1.2,Linux,ptp_oc_hir_udp_mul_untag_def,tc_conf_ptp-oc_mtg_005,ptp-oc,2024-11-01,26,1115.0,46.0,0,No Error,-1,Normal,No keywords,PASS
tc_conf_ptp-bc_beg_001_20250108-113911.log,Hirschmann,1.1,Linux,ptp_bc_sample,tc_conf_ptp-bc_beg_001,ptp-bc,2025-01-08,32,194.0,21.0,0,DUT does not transmit Announce message on port  #,-1,Normal,No keywords,ABORT
tc_conf_dtmf_hvg_009_20241122-104631.log,Dinstar,1.1,Linux,dtmf_check_mgw,tc_conf_dtmf_hvg_009,dtmf,2024-11-22,47,46.0,105.0,0,DTMF RTP session packets are not received on TEE##                .                                               #,-1,Normal,No keywords,ABORT
tc_conf_ptp-bc_mfg_016_20241015-181039.log,hirshman_udp_mul_untag,1.3,Linux,ptp_bc_hirschman_udp_mult_untag,tc_conf_ptp-bc_mfg_016,ptp-bc,2024-10-15,41,194.0,24.0,1,DUT does not transmit PDELAY_REQ message on port P1 1/5 with expected parameters,0,Interface / Port Mismatch,"dut, does, not, transmit, message",FAIL
tc_conf_dtmf_pvg_006_20240730-132619.log,Kamailio,1.0,Linux,dtmf_testing_kamailio,tc_conf_dtmf_pvg_006,dtmf,2024-07-30,42,46.0,46.0,0,No Error,-1,Normal,No keywords,PASS
tc_conf_sctp_pmg_001_20241121-150441.log,Kamailio,1.3,Linux,sctp_kamailio_2,tc_conf_sctp_pmg_001,sctp,2024-11-21,59,41.0,46.0,0,No Error,-1,Normal,No keywords,PASS
tc_conf_sctp_dfg_001_20241128-095832.log,Kamailio,1.3,Linux,sctp_kamailio_3,tc_conf_sctp_dfg_001,sctp,2024-11-28,14,41.0,46.0,0,DUT has not sent SCTP DATA Chunk (SIP INVITE    #,-1,Normal,No keywords,ABORT
tc_conf_ptp-oc_mfg_011_20241105-114753.log,hirschmann_ieee_untag_slaveonly,1.2,Linux,ptp_oc_ieee_untag_slave_only,tc_conf_ptp-oc_mfg_011,ptp-oc,2024-11-05,43,1115.0,234.0,1,or test result may be in correct.,3,Test Result / Validation Issue,"test, result, may, correct",FAIL
tc_conf_ptp-oc_mtg_017_20241105-120444.log,hirschmann_ieee_untag_slaveonly,1.2,Linux,ptp_oc_ieee_untag_slave_only,tc_conf_ptp-oc_mtg_017,ptp-oc,2024-11-05,16,1115.0,234.0,1,or test result may be in correct.,3,Test Result / Validation Issue,"test, result, may, correct",FAIL
tc_conf_sctp_dfg_001_20241121-172740.log,Kamailio,1.3,Linux,sctp_kamailio_2,tc_conf_sctp_dfg_001,sctp,2024-11-21,41,41.0,46.0,0,No Error,-1,Normal,No keywords,PASS
tc_conf_dtmf_hvg_013_20240730-153410.log,Kamailio,1.0,Linux,dtmf_testing_kamailio,tc_conf_dtmf_hvg_013,dtmf,2024-07-30,46,46.0,46.0,0,DTMF RTP session packets are not received on TEE##                .                                               #,-1,Normal,No keywords,ABORT
tc_conf_dtmf_hvg_013_20240730-125550.log,Kamailio,1.0,Linux,dtmf_testing_kamailio,tc_conf_dtmf_hvg_013,dtmf,2024-07-30,13,46.0,46.0,0,No Error,-1,Normal,No keywords,PASS
tc_conf_ptp-oc_smg_005_20241104-162200.log,hirschmann_ieee_untag,1.3,Linux,ptp_oc_ieee_untag_1step,tc_conf_ptp-oc_smg_005,ptp-oc,2024-11-04,32,1115.0,105.0,0,No Error,-1,Normal,No keywords,PASS
tc_conf_ptp-tc_mfg_004_20241017-135104.log,ptp-tc_hirschman_iec_utility,1.1,Linux,ptp-tc_hirschman_iec_utility,tc_conf_ptp-tc_mfg_004,ptp-tc,2024-10-17,18,363.0,18.0,0,This test case is only applicable for Transport type UDP/IPv4,-1,Normal,No keywords,ABORT
tc_conf_sctp_pmg_002_20241127-102433.log,Kamailio,1.3,Linux,sctp_kamailio_3,tc_conf_sctp_pmg_002,sctp,2024-11-27,40,41.0,46.0,0,No Error,-1,Normal,No keywords,PASS
tc_conf_ptp-oc_beg_002_20241021-190957.log,ptp-oc_default_ieee_multicast,1.0,Linux,ptp-oc_default_ieee_multicast,tc_conf_ptp-oc_beg_002,ptp-oc,2024-10-21,30,1115.0,253.0,1,15:48:24.107 # Result: FAILED  DUT does not elect master based on the          #,6,DUT Configuration Value Error,"dut, not, has, configured, value",FAIL
tc_conf_ptp-oc_smg_010_20241021-125456.log,hirschman,1.0,Linux,ptp-oc_default_profile,tc_conf_ptp-oc_smg_010,ptp-oc,2024-10-21,12,1115.0,40.0,0,No Error,-1,Normal,No keywords,PASS
tc_conf_tcp_hvg_003_20241009-124648.log,Dinstar,1.3,Linux,tcp_check_mgw,tc_conf_tcp_hvg_003,tcp,2024-10-09,34,12.0,105.0,0,No Error,-1,Normal,No keywords,PASS
tc_conf_ptp-oc_pcg_004_20241021-124314.log,hirschman,1.1,Linux,ptp-oc_default_profile,tc_conf_ptp-oc_pcg_004,ptp-oc,2024-10-21,20,1115.0,40.0,0,This test case is only applicable for Unicast Mode,-1,Normal,No keywords,ABORT
tc_conf_dtmf_hvg_009_20241106-110606.log,Dinstar,1.1,Linux,dtmf_check_mgw,tc_conf_dtmf_hvg_009,dtmf,2024-11-06,17,46.0,105.0,0,DTMF RTP session packets are not received on TEE##                .                                               #,-1,Normal,No keywords,ABORT
tc_conf_ptp-oc_pcg_001_20241012-175038.log,Hirscman_ptp-oc_default_profile,1.1,Linux,ptp_hirschman_oc_default,tc_conf_ptp-oc_pcg_001,ptp-oc,2024-10-12,20,1115.0,43.0,1,DUT allows to enable PTP on more than one port  #,8,Announce / SIP Transmission Error,"dut, not, announce, does, port",FAIL
tc_conf_ptp-tc_mhg_001_20241014-113127.log,ptp-tc_hirshman_ieee_tag__2step,1.1,Linux,ptp-tc_hirschman_ieee_tag__2step,tc_conf_ptp-tc_mhg_001,ptp-tc,2024-10-14,22,363.0,68.0,0,No Error,-1,Normal,No keywords,PASS
tc_conf_ptp-oc_mtg_018_20241105-183757.log,Hirsch_Oc_teleco_Linux_simulation,1.1,Linux,ptp_oc_telecom_linux_simulation,tc_conf_ptp-oc_mtg_018,ptp-oc,2024-11-05,54,1115.0,319.0,1,with error - Capture id does not exist,1,Capture / ID Handling Error,"capture, does, not, exist",FAIL
tc_conf_sctp_dfg_001_20241121-174946.log,Kamailio,1.3,Linux,sctp_kamailio_2,tc_conf_sctp_dfg_001,sctp,2024-11-21,23,41.0,46.0,0,DUT has not sent SCTP DATA Chunk (SIP INVITE Request) to TEE interface T1.,-1,Normal,No keywords,ABORT
tc_conf_ptp-bc_smg_006_20241013-171928.log,hirshman_ieee_mul_untag_one_step,1.1,Linux,ptp_bc_hirshman_ieee_mul_tag_two_step,tc_conf_ptp-bc_smg_006,ptp-bc,2024-10-13,49,194.0,91.0,0,No Error,-1,Normal,No keywords,PASS
tc_conf_dtmf_hvg_008_20241111-102505.log,Dinstar,1.1,Linux,dtmf_check_mgw,tc_conf_dtmf_hvg_008,dtmf,2024-11-11,10,46.0,105.0,0,DTMF RTP session packets are not received on TEE.,-1,Normal,No keywords,ABORT
tc_conf_ptp-oc_mfg_018_20241107-133020.log,Hirsch_Oc_teleco_Linux_simulation,1.1,Linux,ptp_oc_telecom_linux_simulation,tc_conf_ptp-oc_mfg_018,ptp-oc,2024-11-07,31,1115.0,319.0,1,DUT does not transmits Signalling ANNOUNCE      #,8,Announce / SIP Transmission Error,"dut, not, announce, does, port",FAIL
tc_conf_ptp-oc_smg_005_20241021-130814.log,hirschman,1.2,Linux,ptp-oc_default_profile,tc_conf_ptp-oc_smg_005,ptp-oc,2024-10-21,24,1115.0,40.0,0,No Error,-1,Normal,No keywords,PASS
tc_conf_ptp-tc_mtg_006_20241017-125307.log,ptp-tc_hirschman_pp2_tag_2step,1.1,Linux,ptp-tc_hirschman_pp2_tag_2step,tc_conf_ptp-tc_mtg_006,ptp-tc,2024-10-17,27,363.0,103.0,1,DUT does not transmit PDELAY_RESP message on    #,4,PTP Transmission / PDELAY_RESP Failure,"dut, does, not, transmit, message",FAIL
tc_conf_ptp-oc_mfg_018_20241106-170502.log,Hirsch_Oc_teleco_Linux_simulation,1.1,Linux,ptp_oc_telecom_linux_simulation,tc_conf_ptp-oc_mfg_018,ptp-oc,2024-11-06,19,1115.0,319.0,1,with error - Capture id does not exist,1,Capture / ID Handling Error,"capture, does, not, exist",FAIL
tc_conf_ptp-tc_mtg_001_20241014-112121.log,ptp-tc_hirshman_ieee_tag__2step,1.2,Linux,ptp-tc_hirschman_ieee_tag__2step,tc_conf_ptp-tc_mtg_001,ptp-tc,2024-10-14,12,363.0,68.0,0,No Error,-1,Normal,No keywords,PASS
tc_conf_ptp-bc_beg_004_20241014-184235.log,hirshman_ieee_mul_untag_one_step,1.3,Linux,ptp_bc_hirshman_ieee_mul_untag_one_step,tc_conf_ptp-bc_beg_004,ptp-bc,2024-10-14,53,194.0,91.0,0,DUT does not transmit Announce message on port  #,-1,Normal,No keywords,ABORT
tc_conf_ptp-bc_smg_002_20241015-162626.log,hirshman_ieee_mul_untag_two_step,1.2,Linux,ptp-bc_hirshman_ieee_mul_untag_2step,tc_conf_ptp-bc_smg_002,ptp-bc,2024-10-15,42,194.0,24.0,0,No Error,-1,Normal,No keywords,PASS
tc_conf_dtmf_pvg_005_20241112-165817.log,Dinstar,1.1,Linux,dtmf_check_mgw,tc_conf_dtmf_pvg_005,dtmf,2024-11-12,33,46.0,105.0,0,DTMF RTP session packets are not received on TEE##                .                                               #,-1,Normal,No keywords,ABORT
tc_conf_ptp-oc_mtg_015_20241021-175257.log,ptp-oc_default_ieee_multicast,1.1,Linux,ptp-oc_default_ieee_multicast,tc_conf_ptp-oc_mtg_015,ptp-oc,2024-10-21,25,1115.0,253.0,1,17:51:13.723 CLI: Stopping PTP: Failed,2,CLI / Command Execution Failure,"ptp, failed, cli, stopping, aborted",FAIL
tc_conf_ptp-oc_mfg_018_20241105-172515.log,Hirsch_Oc_teleco_Linux_simulation,1.1,Linux,ptp_oc_telecom_linux_simulation,tc_conf_ptp-oc_mfg_018,ptp-oc,2024-11-05,56,1115.0,319.0,1,with error - Capture id does not exist,1,Capture / ID Handling Error,"capture, does, not, exist",FAIL
tc_conf_ptp-bc_pcg_013_20241013-173335.log,hirshman_ieee_mul_untag_one_step,1.2,Linux,ptp_bc_hirshman_ieee_mul_tag_two_step,tc_conf_ptp-bc_pcg_013,ptp-bc,2024-10-13,47,194.0,91.0,0,No Error,-1,Normal,No keywords,PASS
tc_conf_ipv4_ifg_005_20240729-123059.log,cisco,1.1,Linux,ipv4_cisco_2,tc_conf_ipv4_ifg_005.tcl,ipv4,2024-07-29,11,36.0,45.0,0,"Script Error - missing """,-1,Normal,No keywords,ABORT
tc_conf_dtmf_pvg_008_20241122-131744.log,Asterisk,1.0,Linux,dtmf_check_pbx,tc_conf_dtmf_pvg_008,dtmf,2024-11-22,29,46.0,31.0,0,No Error,-1,Normal,No keywords,PASS
tc_conf_dtmf_hvg_009_20240801-150125.log,Asterisk,1.0,Linux,dtmf_mgw,tc_conf_dtmf_hvg_009,dtmf,2024-08-01,30,46.0,31.0,0,Could not add route to direct SIP call on DUT.  #,-1,Normal,No keywords,ABORT
tc_conf_dtmf_hvg_012_20240730-152341.log,Kamailio,1.0,Linux,dtmf_testing_kamailio,tc_conf_dtmf_hvg_012,dtmf,2024-07-30,52,46.0,46.0,1,to the remote host.,9,PTP Command / Domain Configuration Error,"command, ptp, v2bc, v2tc, 256",FAIL
tc_conf_ptp-tc_mtg_003_20241017-125112.log,ptp-tc_hirschman_pp2_tag_2step,1.1,Linux,ptp-tc_hirschman_pp2_tag_2step,tc_conf_ptp-tc_mtg_003,ptp-tc,2024-10-17,54,363.0,103.0,0,No Error,-1,Normal,No keywords,PASS
tc_conf_ptp-oc_mfg_018_20241108-150718.log,hirschmann_ieee_untag,1.1,Linux,ptp_oc_ieee_untag_1step,tc_conf_ptp-oc_mfg_018,ptp-oc,2024-11-08,20,1115.0,105.0,1,or test result may be in correct.,3,Test Result / Validation Issue,"test, result, may, correct",FAIL
tc_conf_ptp-oc_pcg_007_20241021-121531.log,hirschman,1.0,Linux,ptp-oc_default_profile,tc_conf_ptp-oc_pcg_007,ptp-oc,2024-10-21,13,1115.0,40.0,0,This test case is only applicable for One Step Clock with Non Slave only ordinary clock,-1,Normal,No keywords,ABORT
tc_conf_ptp-oc_mfg_018_20241106-172534.log,Hirsch_Oc_teleco_Linux_simulation,1.1,Linux,ptp_oc_telecom_linux_simulation,tc_conf_ptp-oc_mfg_018,ptp-oc,2024-11-06,58,1115.0,319.0,0,This test case is only applicable for Transport Type = UDP/IPv4 and Communication Model = Unicast.,-1,Normal,No keywords,ABORT
tc_conf_sip_dtg_003_20250610-155026.log,Freepbx,1.5,Linux,sip_test_manual,tc_conf_sip_dtg_003,sip,2025-06-10,12,26.0,4.0,0,User registration could not be completed at DUT.,-1,Normal,No keywords,ABORT
tc_conf_ptp-bc_pcg_018_20241016-150129.log,ptp-tc_hirschman_pp2_tag_2step,1.1,Linux,ptp-tc_hirschman_pp2_tag_2step,tc_conf_ptp-bc_pcg_018,ptp-bc,2024-10-16,27,194.0,103.0,0,DUT does not transmit Announce message on port P1 1/5,-1,Normal,No keywords,ABORT
tc_conf_ptp-bc_beg_008_20250108-140143.log,Hirschmann,1.1,Linux,ptp_bc_sample,tc_conf_ptp-bc_beg_008,ptp-bc,2025-01-08,39,194.0,21.0,0,This test case is only applicable for Telecom Profile ITU-T G.8275.1/Y.1369.1,-1,Normal,No keywords,ABORT
tc_conf_ptp-bc_mtg_012_20241016-144500.log,ptp-tc_hirschman_pp2_tag_2step,1.2,Linux,ptp-tc_hirschman_pp2_tag_2step,tc_conf_ptp-bc_mtg_012,ptp-bc,2024-10-16,48,194.0,103.0,0,DUT does not transmit Announce message on port  #,-1,Normal,No keywords,ABORT
tc_conf_ptp-tc_pcg_001_20241014-133001.log,ptp-tc_hirshman_ieee_untag_1step,1.1,Linux,ptp-tc_hirshman_ieee_untag_1step,tc_conf_ptp-tc_pcg_001,ptp-tc,2024-10-14,16,363.0,22.0,0,No Error,-1,Normal,No keywords,PASS
tc_conf_ptp-oc_mfg_001_20241105-114713.log,hirschmann_ieee_untag_slaveonly,1.2,Linux,ptp_oc_ieee_untag_slave_only,tc_conf_ptp-oc_mfg_001,ptp-oc,2024-11-05,55,1115.0,234.0,0,This test case is only applicable for transport type UDP/IPv4 with Non Slave Only Ordinary Clock,-1,Normal,No keywords,ABORT
tc_conf_ipv6-host_S1-G1_001_20241129-115559.log,Cisco_2811,1.2,Linux,ipv6_cisco_test,tc_conf_ipv6-host_S1-G1_001.tcl,ipv6-host,2024-11-29,15,5.0,5.0,0,Could not configure NUT for Testsetup 1,-1,Normal,No keywords,ABORT
tc_conf_ptp-bc_mhg_003_20241016-151530.log,ptp-tc_hirschman_pp2_tag_2step,1.2,Linux,ptp-tc_hirschman_pp2_tag_2step,tc_conf_ptp-bc_mhg_003,ptp-bc,2024-10-16,38,194.0,103.0,0,DUT does not transmit Announce message on port P1 1/5,-1,Normal,No keywords,ABORT
tc_conf_ptp-bc_pcg_009_20241015-161947.log,hirshman_ieee_mul_untag_two_step,1.1,Linux,ptp-bc_hirshman_ieee_mul_untag_2step,tc_conf_ptp-bc_pcg_009,ptp-bc,2024-10-15,58,194.0,24.0,0,No Error,-1,Normal,No keywords,PASS
tc_conf_ptp-oc_smg_017_20241105-122107.log,hirschmann_ieee_untag_slaveonly,1.2,Linux,ptp_oc_ieee_untag_slave_only,tc_conf_ptp-oc_smg_017,ptp-oc,2024-11-05,37,1115.0,234.0,1,or test result may be in correct.,3,Test Result / Validation Issue,"test, result, may, correct",FAIL
tc_conf_dtmf_hvg_008_20241205-122206.log,Dinstar,1.1,Linux,dtmf_check_mgw,tc_conf_dtmf_hvg_008,dtmf,2024-12-05,44,46.0,105.0,0,DTMF RTP session packets are not received on TEE##                .                                               #,-1,Normal,No keywords,ABORT
tc_conf_ptp-tc_mtg_002_20241015-185147.log,ptp-tc_hirshman_udp_unicast_untag_2step,1.1,Linux,ptp-tc_hirshman_udp_unicast_untag_2step,tc_conf_ptp-tc_mtg_002,ptp-tc,2024-10-15,12,363.0,91.0,0,Unicast Pre Requisite Failed - Unable to        #,-1,Normal,No keywords,ABORT
tc_conf_ptp-oc_pcg_018_20241021-183815.log,ptp-oc_default_ieee_multicast,1.1,Linux,ptp-oc_default_ieee_multicast,tc_conf_ptp-oc_pcg_018,ptp-oc,2024-10-21,42,1115.0,253.0,1,18:38:12.265 # TEST CASE ABORTED: This test case is only applicable for Unicast Mode,5,Bit / Marker Configuration Error,"test, case, not, aborted, bit",FAIL
tc_conf_dtmf_hvg_008_20241122-103657.log,Dinstar,1.1,Linux,dtmf_check_mgw,tc_conf_dtmf_hvg_008,dtmf,2024-11-22,51,46.0,105.0,0,DTMF RTP session packets are not received on TEE.,-1,Normal,No keywords,ABORT
tc_conf_ptp-bc_mtg_010_20241014-150212.log,hirshman_ieee_mul_untag_one_step,1.2,Linux,ptp_bc_hirshman_ieee_mul_tag_two_step,tc_conf_ptp-bc_mtg_010,ptp-bc,2024-10-14,42,194.0,91.0,0,DUT does not transmit DELAY_RESP message on port P1 1/5,-1,Normal,No keywords,ABORT
tc_conf_ptp-oc_mfg_005_20241104-154740.log,hirschmann_ieee_untag,1.2,Linux,ptp_oc_ieee_untag_1step,tc_conf_ptp-oc_mfg_005,ptp-oc,2024-11-04,35,1115.0,105.0,0,This test case is only applicable for transport type UDP/IPv4 with Non Slave Only Ordinary Clock,-1,Normal,No keywords,ABORT
tc_conf_dtmf_hvg_009_20241113-174732.log,Dinstar,1.1,Linux,dtmf_check_mgw,tc_conf_dtmf_hvg_009,dtmf,2024-11-13,52,46.0,105.0,0,DTMF RTP session packets are not received on TEE##                .                                               #,-1,Normal,No keywords,ABORT
tc_conf_ptp-oc_pcg_004_20241012-174636.log,Hirscman_ptp-oc_default_profile,1.1,Linux,ptp_hirschman_oc_default,tc_conf_ptp-oc_pcg_004,ptp-oc,2024-10-12,35,1115.0,43.0,0,instead of Fail when      #,-1,Normal,No keywords,ABORT
tc_conf_dtmf_pvg_005_20241112-175020.log,Dinstar,1.1,Linux,dtmf_check_mgw,tc_conf_dtmf_pvg_005,dtmf,2024-11-12,55,46.0,105.0,0,DTMF RTP session packets are not received on TEE.,-1,Normal,No keywords,ABORT
tc_conf_ptp-oc_mtg_017_20241105-120444.log,hirschmann_ieee_untag_slaveonly,1.2,Linux,ptp_oc_ieee_untag_slave_only,tc_conf_ptp-oc_mtg_017,ptp-oc,2024-11-05,37,1115.0,234.0,1,DUT does not transmit DELAY _REQ message with periodicity >=0 and <= twice min. Delay Request Interval,7,DUT Port / State Mismatch,"dut, not, does, port, message",FAIL
tc_conf_ptp-oc_pcg_011_20241021-173642.log,ptp-oc_default_ieee_multicast,1.0,Linux,ptp-oc_default_ieee_multicast,tc_conf_ptp-oc_pcg_011,ptp-oc,2024-10-21,49,1115.0,253.0,1,DUT has not configured with priority1 value as 0#,6,DUT Configuration Value Error,"dut, not, has, configured, value",FAIL
tc_conf_ptp-bc_smg_003_20241014-152109.log,hirshman_ieee_mul_untag_one_step,1.1,Linux,ptp_bc_hirshman_ieee_mul_tag_two_step,tc_conf_ptp-bc_smg_003,ptp-bc,2024-10-14,58,194.0,91.0,0,No Error,-1,Normal,No keywords,PASS
tc_conf_ptp-oc_beg_003_20241107-084922.log,Hirschmann_telecom,1.1,Linux,Ptp-oc_telecom_js,tc_conf_ptp-oc_beg_003,ptp-oc,2024-11-07,46,1115.0,10.0,0,This test case is only applicable for Default Profile,-1,Normal,No keywords,ABORT
tc_conf_ptp-oc_mtg_018_20241105-183757.log,Hirsch_Oc_teleco_Linux_simulation,1.1,Linux,ptp_oc_telecom_linux_simulation,tc_conf_ptp-oc_mtg_018,ptp-oc,2024-11-05,57,1115.0,319.0,1,with error - Capture id does not exist,1,Capture / ID Handling Error,"capture, does, not, exist",FAIL
tc_conf_ptp-oc_mfg_002_20241021-191921.log,ptp-oc_default_ieee_multicast,1.1,Linux,ptp-oc_default_ieee_multicast,tc_conf_ptp-oc_mfg_002,ptp-oc,2024-10-21,14,1115.0,253.0,0,This test case is only applicable for transport type UDP/IPv4 with Non Slave Only Ordinary Clock,-1,Normal,No keywords,ABORT
tc_conf_ptp-oc_mtg_016_20241021-175457.log,ptp-oc_default_ieee_multicast,1.1,Linux,ptp-oc_default_ieee_multicast,tc_conf_ptp-oc_mtg_016,ptp-oc,2024-10-21,19,1115.0,253.0,1,17:52:46.429 CLI: Stopping PTP: Failed,2,CLI / Command Execution Failure,"ptp, failed, cli, stopping, aborted",FAIL
tc_conf_ptp-oc_smg_017_20241104-135728.log,hirschmann_ieee_untag,1.2,Linux,ptp_oc_ieee_untag_hirschmann,tc_conf_ptp-oc_smg_017,ptp-oc,2024-11-04,30,1115.0,105.0,1,DUT Port P1 in SLAVE state does not move to     #,7,DUT Port / State Mismatch,"dut, not, does, port, message",FAIL
tc_conf_ptp-oc_pcg_011_20241104-145341.log,hirschmann_ieee_tag,1.1,Linux,ptp_oc_ieee_tag_hirschmann,tc_conf_ptp-oc_pcg_011,ptp-oc,2024-11-04,49,1115.0,32.0,1,DUT has not configured with  priority1 value  as 0,6,DUT Configuration Value Error,"dut, not, has, configured, value",FAIL
tc_conf_ptp-bc_mfg_023_20241014-155130.log,hirshman_ieee_mul_untag_one_step,1.1,Linux,ptp_bc_hirshman_ieee_mul_tag_two_step,tc_conf_ptp-bc_mfg_023,ptp-bc,2024-10-14,38,194.0,91.0,0,This test case is only applicable for Telecom Profile ITU-T G.8275.2/Y.1369.2,-1,Normal,No keywords,ABORT
tc_conf_ptp-bc_beg_001_20241013-154446.log,hirschman_defalut_profile,1.1,Linux,ptp_bc_hirschman,tc_conf_ptp-bc_beg_001,ptp-bc,2024-10-13,21,194.0,2.0,0,No Error,-1,Normal,No keywords,PASS
tc_conf_ptp-bc_mtg_013_20241016-144008.log,ptp-tc_hirschman_pp2_tag_2step,1.3,Linux,ptp-tc_hirschman_pp2_tag_2step,tc_conf_ptp-bc_mtg_013,ptp-bc,2024-10-16,38,194.0,103.0,0,DUT does not transmit Announce message on port P1 1/5,-1,Normal,No keywords,ABORT
tc_conf_ptp-bc_mtg_001_20241013-182723.log,hirshman_ieee_mul_untag_one_step,1.2,Linux,ptp_bc_hirshman_ieee_mul_tag_two_step,tc_conf_ptp-bc_mtg_001,ptp-bc,2024-10-13,43,194.0,91.0,0,No Error,-1,Normal,No keywords,PASS
tc_conf_ipv6-host_S1-G1_001_20241128-234729.log,Cisco_2811,1.2,Linux,ipv6_cisco_test,tc_conf_ipv6-host_S1-G1_001.tcl,ipv6-host,2024-11-28,18,5.0,5.0,0,Could not configure NUT for Testsetup 1,-1,Normal,No keywords,ABORT
tc_conf_rtp_hvg_004_20240925-125709.log,Asterisk,1.5,Linux,dtmf_test,tc_conf_rtp_hvg_004,rtp,2024-09-25,46,2.0,31.0,0,Could not establish the SIP call.,-1,Normal,No keywords,ABORT
tc_conf_ptp-bc_pcg_002_20241015-145353.log,hirshman_ieee_mul_untag_one_step,1.1,Linux,ptp_bc_hirshman_ieee_mul_untag_one_step,tc_conf_ptp-bc_pcg_002,ptp-bc,2024-10-15,42,194.0,91.0,1,for command: ptp v2bc domain -1,9,PTP Command / Domain Configuration Error,"command, ptp, v2bc, v2tc, 256",FAIL
tc_conf_ptp-bc_pcg_003_20241015-145436.log,hirshman_ieee_mul_untag_one_step,1.3,Linux,ptp_bc_hirshman_ieee_mul_untag_one_step,tc_conf_ptp-bc_pcg_003,ptp-bc,2024-10-15,18,194.0,91.0,0,This test case is only applicable for Unicast Mode,-1,Normal,No keywords,ABORT
tc_conf_ptp-oc_beg_004_20241105-114702.log,hirschmann_ieee_untag_slaveonly,1.1,Linux,ptp_oc_ieee_untag_slave_only,tc_conf_ptp-oc_beg_004,ptp-oc,2024-11-05,37,1115.0,234.0,0,This test case is only applicable for Non Slave Only Ordinary Clock,-1,Normal,No keywords,ABORT
